id,tytul,cena,cena_poprzednia,lokalizacja,data_dodania,url,status
109,Pancerne Wodoodporne ETUI do IPhone 14 Plus,120.0,,"Poznań, Ogrody",01-05-2026,https://www.olx.pl/d/oferta/pancerne-wodoodporne-etui-do-iphone-14-plus-CID99-ID192z4H.html?search_reason=search%7Corganic,nowe
110,iPhone 14 Pro czarny 256GB | dobry stan | 87% kondycji baterii | oryginalny | pełny komplet,1680.0,,Rzeszów,01-05-2026,https://www.olx.pl/d/oferta/iphone-14-pro-czarny-256gb-dobry-stan-87-kondycji-baterii-oryginalny-pelny-komplet-CID99-ID17zv6m.html?search_reason=search%7Cpromoted,nowe
111,iPhone 14 Czarny 128 GB 100% Baterii,999.0,,Olsztyn,06-05-2026,https://www.olx.pl/d/oferta/iphone-14-czarny-128-gb-100-baterii-CID99-ID1awzoj.html?search_reason=search%7Cpromoted,nowe
112,Iphone 14 128GB używany,1700.0,,"Gdańsk, Jasień",22-04-2026,https://www.olx.pl/d/oferta/iphone-14-128gb-uzywany-CID99-ID1ak6QX.html?search_reason=search%7Cpromoted,nowe
113,apple iphone  14,1000.0,,Świnoujście,09-05-2026,https://www.olx.pl/d/oferta/apple-iphone-14-CID99-ID1ayxhV.html?search_reason=search%7Corganic,nowe
114,iPhone 14  128 GB,950.0,,Gowarzewo,11-05-2026,https://www.olx.pl/d/oferta/iphone-14-128-gb-CID99-ID1a7lpE.html?search_reason=search%7Corganic,nowe
115,"Iphone 14, 100% kondycji baterii, bez rys",1350.0,,Ruda Śląska,11-05-2026,https://www.olx.pl/d/oferta/iphone-14-100-kondycji-baterii-bez-rys-CID99-ID1aAFKv.html?search_reason=search%7Corganic,nowe
116,Telefon iPhone 14,1100.0,,Siedlce,15-04-2026,https://www.olx.pl/d/oferta/telefon-iphone-14-CID99-ID19jrGi.html?search_reason=search%7Corganic,nowe
117,iphone 14 uzywany,999.0,,Nieporaz,03-05-2026,https://www.olx.pl/d/oferta/iphone-14-uzywany-CID99-ID1atfCU.html?search_reason=search%7Corganic,nowe
118,Apple iPhone 14 Pro 128Gb | Idealny stan,1500.0,,"Poznań, Winogrady",12-05-2026,https://www.olx.pl/d/oferta/apple-iphone-14-pro-128gb-idealny-stan-CID99-ID17GjbV.html?search_reason=search%7Corganic,nowe
119,Iphone 14 plus używany,800.0,,Jastrzębie-Zdrój,19-04-2026,https://www.olx.pl/d/oferta/iphone-14-plus-uzywany-CID99-ID1ahBoJ.html?search_reason=search%7Corganic,nowe
120,Case na iphone 14 PLUS!!!!!!,100.0,,Świętochłowice,11-05-2026,https://www.olx.pl/d/oferta/case-na-iphone-14-plus-CID99-ID1aAFTo.html?search_reason=search%7Corganic,nowe
121,Iphone 14 pro.,1000.0,,Włocławek,26-04-2026,https://www.olx.pl/d/oferta/iphone-14-pro-CID99-ID19Tr7E.html?search_reason=search%7Corganic,nowe
122,iPhone 14 128GB Midnight,1199.0,,Zielona Góra,12-05-2026,https://www.olx.pl/d/oferta/iphone-14-128gb-midnight-CID99-ID1aBwKZ.html?search_reason=search%7Corganic,nowe
123,iPhone 14 128GB | Bateria 100% | Gwarancja 2 lata | Raty 0%,1499.0,,Żory,09-05-2026,https://www.olx.pl/d/oferta/iphone-14-128gb-bateria-100-gwarancja-2-lata-raty-0-CID99-ID15gfPY.html?search_reason=search%7Cpromoted,nowe
124,JAK NOWY | IPHONE 14 PRO MAX 128GB | 2 lata gwarancji! | Różne kolory,1999.0,,"Poznań, Jeżyce",12-05-2026,https://www.olx.pl/d/oferta/jak-nowy-iphone-14-pro-max-128gb-2-lata-gwarancji-rozne-kolory-CID99-IDP9cFl.html?search_reason=search%7Cpromoted,nowe
125,Iphone 14 Pro 128GB Nowa Bateria Warszawa,1499.0,,"Warszawa, Ursus",10-05-2026,https://www.olx.pl/d/oferta/iphone-14-pro-128gb-nowa-bateria-warszawa-CID99-ID1azJwu.html?search_reason=search%7Cpromoted,nowe
126,IPhone 14 jak NOWY,1249.0,,Kalisz,17-04-2026,https://www.olx.pl/d/oferta/iphone-14-jak-nowy-CID99-ID15ZIHf.html?search_reason=search%7Corganic,nowe
127,"IPhone 14, biały.",,,Starogard Gdański,11-05-2026,https://www.olx.pl/d/oferta/iphone-14-bialy-CID99-IDTdqQk.html?search_reason=search%7Corganic,nowe
128,iPhone 14 256GB,1250.0,,Nadma,11-05-2026,https://www.olx.pl/d/oferta/iphone-14-256gb-CID99-ID1axnWI.html?search_reason=search%7Corganic,nowe
129,Telefon iPhone 14,1400.0,,Żmigród,11-05-2026,https://www.olx.pl/d/oferta/telefon-iphone-14-CID99-ID1aAluz.html?search_reason=search%7Corganic,nowe
130,Sprzedam Iphone 14 256 gb,950.0,,Krosno,20-04-2026,https://www.olx.pl/d/oferta/sprzedam-iphone-14-256-gb-CID99-ID19RXsn.html?search_reason=search%7Corganic,nowe
131,Iphone 14 fioletowy,1100.0,,Bydgoszcz,12-05-2026,https://www.olx.pl/d/oferta/iphone-14-fioletowy-CID99-ID1aBthW.html?search_reason=search%7Corganic,nowe
132,"iPhone 14 Plus 128 GB – bardzo dobry stan, bateria 89%",1349.0,,Nowy Sącz,07-05-2026,https://www.olx.pl/d/oferta/iphone-14-plus-128-gb-bardzo-dobry-stan-bateria-89-CID99-ID18BRwA.html?search_reason=search%7Corganic,nowe
133,iPhone 17 Pro 256GB Cosmic Orange Kraków ul.krakowska 4 Sklep GSM,4899.0,,"Kraków, Stare Miasto",12-05-2026,https://www.olx.pl/d/oferta/iphone-17-pro-256gb-cosmic-orange-krakow-ul-krakowska-4-sklep-gsm-CID99-ID17J0Vm.html?search_reason=search%7Corganic,nowe
134,"iPhone 14 niebieski , bateria 85%",1290.0,,"Katowice, Szopienice-Burowiec",26-04-2026,https://www.olx.pl/d/oferta/iphone-14-niebieski-bateria-85-CID99-ID1anXRg.html?search_reason=search%7Corganic,nowe
135,IPHONE  14 Plus 256GB | Gwarancja 2 lata | Bat: 100% %,1999.0,,"Poznań, Jeżyce",08-05-2026,https://www.olx.pl/d/oferta/iphone-14-plus-256gb-gwarancja-2-lata-bat-100-CID99-ID19Y09X.html?search_reason=search%7Corganic,nowe
136,iPhone 14 Plus (Z Etui),740.0,,Kielce,11-05-2026,https://www.olx.pl/d/oferta/iphone-14-plus-z-etui-CID99-ID1aAzva.html?search_reason=search%7Cpromoted,nowe
137,"iPhone 14, kolor Midnight, pamięć 128 GB",1400.0,,Elbląg,26-04-2026,https://www.olx.pl/d/oferta/iphone-14-kolor-midnight-pamiec-128-gb-CID99-ID1anZCp.html?search_reason=search%7Cpromoted,nowe
138,Iphone 14 128 gb,1100.0,,Chorzów,11-05-2026,https://www.olx.pl/d/oferta/iphone-14-128-gb-CID99-ID1aADqe.html?search_reason=search%7Corganic,nowe
139,Telefon iphone  14,1100.0,,Krzywiń,18-04-2026,https://www.olx.pl/d/oferta/telefon-iphone-14-CID99-ID19p6Pu.html?search_reason=search%7Corganic,nowe
140,iphone 14 bialy,1300.0,,Zbędowice,11-05-2026,https://www.olx.pl/d/oferta/iphone-14-bialy-CID99-ID1aAC2a.html?search_reason=search%7Corganic,nowe
141,Iphon 14 pro 128 gb,1450.0,,Szamotuły,12-05-2026,https://www.olx.pl/d/oferta/iphon-14-pro-128-gb-CID99-ID1aBsV4.html?search_reason=search%7Corganic,nowe
142,IPhone 14 128 GB,1100.0,,Suwałki,25-04-2026,https://www.olx.pl/d/oferta/iphone-14-128-gb-CID99-ID19WY2Y.html?search_reason=search%7Corganic,nowe
143,Iphone 14 Pro Max 512 GB,1950.0,,"Szczecin, Warszewo",12-05-2026,https://www.olx.pl/d/oferta/iphone-14-pro-max-512-gb-CID99-ID1abmDf.html?search_reason=search%7Corganic,nowe
